DATE,TOC_mg_L,Alk_mg_L
5/17/2025,3.1,60
5/18/2025,3,58
5/19/2025,2.9,55.8
5/20/2025,2.8,55
5/21/2025,2.6,53.5
5/22/2025,2.6,53
5/23/2025,2.5,51.1
5/24/2025,2.5,48.2
5/25/2025,2.3,49
5/26/2025,2.4,47
5/27/2025,2.4,40.5
5/28/2025,2.4,43.9
5/29/2025,2.4,46
5/30/2025,2.5,45.5
5/31/2025,2.6,43.5
6/1/2025,2.6,42.5
6/2/2025,2.6,42.9
6/3/2025,2.6,42
6/4/2025,2.6,41
6/5/2025,2.7,41
6/6/2025,2.8,39.1
6/7/2025,3,40.5
6/8/2025,3,41.5
6/9/2025,3,44.5
6/10/2025,3,43.6
6/11/2025,3.1,41.8
6/12/2025,3,42.6
6/13/2025,2.9,41.5
6/14/2025,2.9,41.1
6/15/2025,2.8,40
6/16/2025,2.7,43
6/17/2025,2.7,40.5
6/18/2025,2.5,40.5
6/19/2025,2.5,41.1
6/20/2025,2.7,42.1
6/21/2025,2.4,40.5
6/22/2025,2.4,40.5
6/23/2025,2.4,41.5
6/24/2025,2.4,42
6/25/2025,2.3,41
6/26/2025,2.3,42
6/27/2025,2.2,41
6/28/2025,2.2,41
6/29/2025,2.1,40.5
6/30/2025,2.1,40
7/1/2025,2.1,41.1
7/2/2025,2,41.5
7/3/2025,2,41
7/4/2025,2.1,42.6
7/5/2025,2.1,42.2
7/6/2025,2,43.2
7/7/2025,2,44.8
7/8/2025,2,44.15
7/9/2025,2,44.5
7/10/2025,2,46
7/11/2025,2,47
7/12/2025,2.1,48
7/13/2025,2.2,48
7/14/2025,2.1,53
7/15/2025,2.1,54.5
7/16/2025,2,55
7/17/2025,2.2,57.5
7/18/2025,2.2,55.2
7/19/2025,2.2,56.3
7/20/2025,2.1,56.8
7/21/2025,2.1,56
7/22/2025,2.1,57
7/23/2025,2.1,58
7/24/2025,2.2,55.5
7/25/2025,2.1,58.5
7/26/2025,2.1,57.5
7/27/2025,2.2,59
7/28/2025,2.2,59
7/29/2025,2.4,60.8
7/30/2025,2.4,60.4
7/31/2025,2.2,60.5
8/1/2025,2.2,62
8/2/2025,2.4,63.5
8/3/2025,2.3,64.5
8/4/2025,2.2,63
8/5/2025,2.3,61.75
8/6/2025,2.4,61.4
8/7/2025,2.2,67.5
8/8/2025,2.3,65
8/9/2025,2.4,63.5
8/10/2025,2.4,64
8/11/2025,2.4,65
8/12/2025,2.3,64
8/13/2025,2.3,63
8/14/2025,2.3,64.5
8/15/2025,2.3,65.5
8/16/2025,2.2,63.8
8/17/2025,2.2,63.1
8/18/2025,2.2,64.5
8/19/2025,2.2,65.5
8/20/2025,2.2,64.5
8/21/2025,2.3,65
8/22/2025,2.2,66
8/23/2025,2.3,66
8/24/2025,2.3,67.5
8/25/2025,2.3,65.4
8/26/2025,2.4,63.4
8/27/2025,2.3,63.1
8/28/2025,2.3,62
8/29/2025,2.3,58
8/30/2025,2.4,59.5
8/31/2025,2.4,60
9/1/2025,2.4,60
9/2/2025,2.3,59
9/3/2025,2.3,59
9/4/2025,2.2,57.5
9/5/2025,2.3,59
9/6/2025,2.3,59
9/7/2025,2.3,60.5
9/8/2025,2.3,61.5
9/9/2025,2.3,62
9/10/2025,2.2,63
9/11/2025,2.4,63
9/12/2025,2.4,62.9
9/13/2025,2.3,67
9/14/2025,2.3,64
9/15/2025,2.2,64
9/16/2025,2.2,62
9/17/2025,2.2,61
9/18/2025,2.2,63.5
9/19/2025,2.2,61.5
9/20/2025,2.2,59.5
9/21/2025,2.2,60.5
9/22/2025,2.5,58.8
9/23/2025,2.2,55.8
9/24/2025,2.2,56
9/25/2025,2.2,56
9/26/2025,2.2,58.5
9/27/2025,2.3,57
9/28/2025,2.2,56
9/29/2025,2.2,59
9/30/2025,2.2,59
10/1/2025,2.3,58.9
10/2/2025,2.3,59.4
10/3/2025,2.2,60.5
10/4/2025,2.2,61.5
10/5/2025,2.2,62
10/6/2025,2.2,61
10/7/2025,2.3,59.75
10/8/2025,2.3,61
10/9/2025,2.3,63.5
10/10/2025,2.3,62.5
10/11/2025,2.3,60.7
10/12/2025,2.2,61.5
10/13/2025,2.2,62.5
10/14/2025,2.2,63
10/15/2025,2.2,62
10/16/2025,2.2,61
10/17/2025,2.3,60.4
10/18/2025,2.2,57.5
10/19/2025,2.3,58
10/20/2025,2.2,61
10/21/2025,2.2,58.5
10/22/2025,2.2,59
10/23/2025,2.2,55
10/24/2025,2.3,60.7
10/25/2025,2.2,60.9
10/26/2025,2.2,60
10/27/2025,2.2,61.5
10/28/2025,2.2,60
10/29/2025,2.2,60
10/30/2025,2.2,58.5
